                                                                                                                                                  --== Types ==--                                                                                                                                                  
___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
           abbreviated name    total_size    address    alignedness    size of biggest integral                                                                                                                                                  size of members (s - size, o - offset)                      full type name
                 int32_int8             8      22792              4                           4                                                                                                                                                                          {4s 0o, 1s 0o}                  {{s32, s8}s32, s8}
        int32_int8_arr_of_2            16       3296              4                           4                                                                                                                                                                                       -             [2, {{s32, s8}s32, s8}]
                     int8_7             7      22190              1                           1                                                                                                                                                                                       -                             [7, s8]
              int8_7__int16            10      11068              2                           2                                                                                                                                                                          {7s 0o, 2s 0o}        {{[7, s8], s16}[7, s8], s16}
                 int8_int32             8      12872              4                           4                                                                                                                                                                          {1s 0o, 4s 0o}                  {{s8, s32}s8, s32}
int8_int32__int8_int32_int8            20       4940              4                           4                                                                                                                                                                         {8s 0o, 12s 0o}    {{{{s8, s32}s8, s32}, {{s8, s32,
            int8_int32_int8            12       4512              4                           4                                                                                                                                                                   {1s 0o, 4s 0o, 1s 0o}          {{s8, s32, s8}s8, s32, s8}
                        r32             4      14688              4                           4                                                                                                                                                                                       -                                 r32
                        r64             8      28016              8                           8                                                                                                                                                                                       -                                 r64
                       r64p             8        912              8                           8                                                                                                                                                                                       -                                r64p
                        s16             2       7836              2                           2                                                                                                                                                                                       -                                 s16
                        s32             4       3808              4                           4                                                                                                                                                                                       -                                 s32
                         sa             8       7528              4                           4                                                                                                                                                                          {4s 0o, 1s 0o}                  {{s32, s8}s32, s8}
                         sb            12      14036              4                           4                                                                                                                                                                          {1s 0o, 8s 0o}    {{s8, {{s32, s8}s32, s8}}s8, {{s
                         sc            73      30076              1                           1                                                                                                                                                                                       -                            [73, s8]
                         sd            96       2280              4                           4                                                                                                                                                                 {73s 0o, 8s 0o, 12s 0o}    {{[73, s8], {{s32, s8}s32, s8}, 
                         se          1428      24288              4                           4                                                                                                                                                {1s 0o, 1248s 0o, 4s 0o, 96s 0o, 73s 0o}    {{s8, [13, {{[73, s8], {{s32, s8
                         sf        108752      12256              4                           4                                                                                                                                                 {4020s 0o, 104244s 0o, 390s 0o, 96s 0o}    {{{{[39, {{[73, s8], {{s32, s8}s
                         sg        108752      15816              8                           8                                                                                                                       |s32 4s, r64 8s, {4020s 0o, 104244s 0o, 390s 0o, 96s 0o} 108752s|    |s32, r64, {{{{[39, {{[73, s8], 
                         sh        108752        168              4                           4    |{1s 0o, 8s 0o} 12s, {73s 0o, 73s 0o, 1428s 0o} 1576s, {73s 0o, 8s 0o, 12s 0o} 96s, {1s 0o, 1248s 0o, 4s 0o, 96s 0o, 73s 0o} 1428s, {4020s 0o, 104244s 0o, 390s 0o, 96s 0o} 108752s|    |{{s8, {{s32, s8}s32, s8}}s8, {{
                         si        219104       8256              8                           8                                                                                                                                      {108752s 0o, 73s 0o, 96s 0o, 1428s 0o, 108752s 0o}    {{|{{s8, {{s32, s8}s32, s8}}s8, 
                         sj         65848      17700              4                           4                                                                                             |{4s 0o, 1s 0o} 8s, [902, [73, s8]] 65846s, {1s 0o, 1248s 0o, 4s 0o, 96s 0o, 73s 0o} 1428s|    |{{s32, s8}s32, s8}, [902, [73, 
                         sk        288696       7640              8                           8                                                                                                                                                       {219104s 0o, 3744s 0o, 65848s 0o}    {{{{|{{s8, {{s32, s8}s32, s8}}s8
                         sl      16542720      21504           1024                        1024                                                                                                                                                             {2107136s 0o, 14434800s 0o}    {{{[32, |{{s32, s8}s32, s8}, [90
                        u32             4      19144              4                           4                                                                                                                                                                                       -                                 u32
